code,Species,Phylum,Genus,Class,Order,Species,Taxonomy ID
A0A061NQV5,Geomicrobium sp. JCM 19037,Bacillota,Geomicrobium,Bacilli,Bacillales,Geomicrobium sp. JCM 19037,1460634
A0A061P875,Geomicrobium sp. JCM 19039,Bacillota,Geomicrobium,Bacilli,Bacillales,Geomicrobium sp. JCM 19039,1460636
A0A062GGY3,Acinetobacter sp. 72431,Pseudomonadota,Acinetobacter,Gammaproteobacteria,Moraxellales,Acinetobacter sp. 72431,1310685
A0A062MZN6,Acinetobacter sp. 796380-1375,Pseudomonadota,Acinetobacter,Gammaproteobacteria,Moraxellales,Acinetobacter sp. 796380-1375,1310833
A0A062X2Y1,Ligilactobacillus animalis,Bacillota,Ligilactobacillus,Bacilli,Lactobacillales,Ligilactobacillus animalis,1605
A0A064CE66,Mycolicibacterium aromaticivorans JS19b1 = JCM 163,Actinomycetota,Mycolicibacterium,Actinomycetes,Mycobacteriales,Mycolicibacterium aromaticivorans JS19b1 = JCM 163,1440774
A0A066ZNB2,Hydrogenovibrio marinus,Pseudomonadota,Hydrogenovibrio,Gammaproteobacteria,Thiotrichales,Hydrogenovibrio marinus,28885
A0A069CW80,Weissella oryzae SG25,Bacillota,Weissella,Bacilli,Lactobacillales,Weissella oryzae SG25,1329250
A0A069D323,Bacteroides graminisolvens DSM 19988 = JCM 15093,Bacteroidota,Bacteroides,Bacteroidia,Bacteroidales,Bacteroides graminisolvens DSM 19988 = JCM 15093,1121097
A0A069IAG7,Cupriavidus sp. SK-3,Pseudomonadota,Cupriavidus,Betaproteobacteria,Burkholderiales,Cupriavidus sp. SK-3,1470558
A0A069S927,Phocaeicola vulgatus str. 3975 RP4,Bacteroidota,Phocaeicola,Bacteroidia,Bacteroidales,Phocaeicola vulgatus str. 3975 RP4,1339352
A0A069S9I0,Phocaeicola vulgatus str. 3975 RP4,Bacteroidota,Phocaeicola,Bacteroidia,Bacteroidales,Phocaeicola vulgatus str. 3975 RP4,1339352
A0A069SA94,Parabacteroides distasonis str. 3776 Po2 i,Bacteroidota,Parabacteroides,Bacteroidia,Bacteroidales,Parabacteroides distasonis str. 3776 Po2 i,1339341
A0A069SEW1,Parabacteroides distasonis str. 3776 Po2 i,Bacteroidota,Parabacteroides,Bacteroidia,Bacteroidales,Parabacteroides distasonis str. 3776 Po2 i,1339341
A0A072CRI6,Acinetobacter sp. ETR1,Pseudomonadota,Acinetobacter,Gammaproteobacteria,Moraxellales,Acinetobacter sp. ETR1,1485002
A0A072MTF9,Bifidobacterium pseudocatenulatum IPLA36007,Actinomycetota,Bifidobacterium,Actinomycetes,Bifidobacteriales,Bifidobacterium pseudocatenulatum IPLA36007,1454376
A0A073J516,Synergistes jonesii,Synergistota,Synergistes,Synergistia,Synergistales,Synergistes jonesii,2754
A0A073JMA4,Limosilactobacillus reuteri,Bacillota,Limosilactobacillus,Bacilli,Lactobacillales,Limosilactobacillus reuteri,1598
A0A074M346,Erythrobacter litoralis,Pseudomonadota,Erythrobacter,Alphaproteobacteria,Sphingomonadales,Erythrobacter litoralis,39960
A0A075TZ28,Weissella ceti,Bacillota,Weissella,Bacilli,Lactobacillales,Weissella ceti,759620
A0A076IM21,Phocaeicola dorei,Bacteroidota,Phocaeicola,Bacteroidia,Bacteroidales,Phocaeicola dorei,357276
A0A076IUU4,Phocaeicola dorei,Bacteroidota,Phocaeicola,Bacteroidia,Bacteroidales,Phocaeicola dorei,357276
A0A076JMQ3,Bifidobacterium adolescentis,Actinomycetota,Bifidobacterium,Actinomycetes,Bifidobacteriales,Bifidobacterium adolescentis,1680
A0A076PJ73,Comamonas testosteroni TK102,Pseudomonadota,Comamonas,Betaproteobacteria,Burkholderiales,Comamonas testosteroni TK102,1392005
A0A077ED79,Elizabethkingia anophelis NUHP1,Bacteroidota,Elizabethkingia,Flavobacteriia,Flavobacteriales,Elizabethkingia anophelis NUHP1,1338011
A0A077FJT2,Rickettsiales bacterium Ac37b,Pseudomonadota,NA,Alphaproteobacteria,Rickettsiales,Rickettsiales bacterium Ac37b,1528098
A0A077KLF7,Chryseobacterium sp. StRB126,Bacteroidota,Chryseobacterium,Flavobacteriia,Flavobacteriales,Chryseobacterium sp. StRB126,878220
A0A077UST9,Staphylococcus schweitzeri,Bacillota,Staphylococcus,Bacilli,Bacillales,Staphylococcus schweitzeri,1654388
A0A077XWM3,Sphingobacterium sp. PM2-P1-29,Bacteroidota,Sphingobacterium,Sphingobacteriia,Sphingobacteriales,Sphingobacterium sp. PM2-P1-29,403776
A0A078KZX6,Legionella massiliensis,Pseudomonadota,Legionella,Gammaproteobacteria,Legionellales,Legionella massiliensis,1034943
A0A078MKA5,Arthrobacter saudimassiliensis,Actinomycetota,Arthrobacter,Actinomycetes,Micrococcales,Arthrobacter saudimassiliensis,1461584
A0A078R9T9,Phocaeicola vulgatus str. 3775 SL(B) 10 (iv),Bacteroidota,Phocaeicola,Bacteroidia,Bacteroidales,Phocaeicola vulgatus str. 3775 SL(B) 10 (iv),1339350
A0A078RCV8,Phocaeicola vulgatus str. 3775 SL(B) 10 (iv),Bacteroidota,Phocaeicola,Bacteroidia,Bacteroidales,Phocaeicola vulgatus str. 3775 SL(B) 10 (iv),1339350
A0A078S2R5,Bacteroides uniformis str. 3978 T3 ii,Bacteroidota,Bacteroides,Bacteroidia,Bacteroidales,Bacteroides uniformis str. 3978 T3 ii,1339349
A0A078S4I9,Bacteroides uniformis str. 3978 T3 ii,Bacteroidota,Bacteroides,Bacteroidia,Bacteroidales,Bacteroides uniformis str. 3978 T3 ii,1339349
A0A081BHX2,Secundilactobacillus oryzae JCM 18671,Bacillota,Secundilactobacillus,Bacilli,Lactobacillales,Secundilactobacillus oryzae JCM 18671,1291743
A0A081BIX8,Secundilactobacillus oryzae JCM 18671,Bacillota,Secundilactobacillus,Bacilli,Lactobacillales,Secundilactobacillus oryzae JCM 18671,1291743
A0A081BZU9,Candidatus Vecturithrix granuli,Candidatus Moduliflexota,Candidatus Vecturithrix,Candidatus Vecturitrichia,Candidatus Vecturitrichales,Candidatus Vecturithrix granuli,1499967
A0A081K7L2,Endozoicomonas elysicola,Pseudomonadota,Endozoicomonas,Gammaproteobacteria,Oceanospirillales,Endozoicomonas elysicola,305900
A0A081KA94,Endozoicomonas elysicola,Pseudomonadota,Endozoicomonas,Gammaproteobacteria,Oceanospirillales,Endozoicomonas elysicola,305900
A0A081PCA1,Pedobacter antarcticus 4BY,Bacteroidota,Pedobacter,Sphingobacteriia,Sphingobacteriales,Pedobacter antarcticus 4BY,1358423
A0A081U6U3,Bacteroides fragilis,Bacteroidota,Bacteroides,Bacteroidia,Bacteroidales,Bacteroides fragilis,817
A0A083ZJN8,Agrobacterium tumefaciens,Pseudomonadota,Agrobacterium,Alphaproteobacteria,Hyphomicrobiales,Agrobacterium tumefaciens,358
A0A084A9C1,Lactococcus cremoris subsp. cremoris GE214,Bacillota,Lactococcus,Bacilli,Lactobacillales,Lactococcus cremoris subsp. cremoris GE214,1415168
A0A084EKT7,Sphingobium yanoikuyae,Pseudomonadota,Sphingobium,Alphaproteobacteria,Sphingomonadales,Sphingobium yanoikuyae,13690
A0A084J9P0,Clostridium sulfidigenes,Bacillota,Clostridium,Clostridia,Eubacteriales,Clostridium sulfidigenes,318464
A0A084JQT2,Lacrimispora celerecrescens,Bacillota,Lacrimispora,Clostridia,Eubacteriales,Lacrimispora celerecrescens,29354
A0A084JQT4,Lacrimispora celerecrescens,Bacillota,Lacrimispora,Clostridia,Eubacteriales,Lacrimispora celerecrescens,29354
A0A084T3Q4,Vibrio sp. ER1A,Pseudomonadota,Vibrio,Gammaproteobacteria,Vibrionales,Vibrio sp. ER1A,1517681
A0A084T4T8,Vibrio sp. ER1A,Pseudomonadota,Vibrio,Gammaproteobacteria,Vibrionales,Vibrio sp. ER1A,1517681
A0A084TC28,Vibrio sp. ER1A,Pseudomonadota,Vibrio,Gammaproteobacteria,Vibrionales,Vibrio sp. ER1A,1517681
A0A084TDC4,Vibrio sp. ER1A,Pseudomonadota,Vibrio,Gammaproteobacteria,Vibrionales,Vibrio sp. ER1A,1517681
A0A084TDC7,Vibrio sp. ER1A,Pseudomonadota,Vibrio,Gammaproteobacteria,Vibrionales,Vibrio sp. ER1A,1517681
A0A085BEH0,Epilithonimonas lactis,Bacteroidota,Epilithonimonas,Flavobacteriia,Flavobacteriales,Epilithonimonas lactis,421072
A0A085ET19,Bosea sp. LC85,Pseudomonadota,Bosea,Alphaproteobacteria,Hyphomicrobiales,Bosea sp. LC85,1502851
A0A085FVY4,Bosea sp. LC85,Pseudomonadota,Bosea,Alphaproteobacteria,Hyphomicrobiales,Bosea sp. LC85,1502851
A0A085GK77,Ewingella americana ATCC 33852,Pseudomonadota,Ewingella,Gammaproteobacteria,Enterobacterales,Ewingella americana ATCC 33852,910964
A0A085KA87,Sphingobium yanoikuyae,Pseudomonadota,Sphingobium,Alphaproteobacteria,Sphingomonadales,Sphingobium yanoikuyae,13690
A0A085Z1D6,Chryseobacterium formosense,Bacteroidota,Chryseobacterium,Flavobacteriia,Flavobacteriales,Chryseobacterium formosense,236814
A0A085ZHL0,Chryseobacterium luteum,Bacteroidota,Chryseobacterium,Flavobacteriia,Flavobacteriales,Chryseobacterium luteum,421531
A0A085ZM90,Flavobacterium reichenbachii,Bacteroidota,Flavobacterium,Flavobacteriia,Flavobacteriales,Flavobacterium reichenbachii,362418
A0A086A9U8,Chryseobacterium soli,Bacteroidota,Chryseobacterium,Flavobacteriia,Flavobacteriales,Chryseobacterium soli,445961
A0A086AED5,Flavobacterium hydatis,Bacteroidota,Flavobacterium,Flavobacteriia,Flavobacteriales,Flavobacterium hydatis,991
